,School,Score,Rating,Address,Type,Grades,Total Students Enrolled,Students per teacher,District
712,Shining Star Early Learning Academy,0/10,Currently unrated,"338 East 103rd Street, Chicago, IL, 60628",Private,PK,N/A,N/A,N/A
713,Fountain Of Learning Center,0/10,Currently unrated,"10414 South State Street, Chicago, IL, 60628",Private,PK,N/A,N/A,N/A
714,Little Bear Day Care,0/10,Currently unrated,"6411-6413 & 6415 S Pulaski, Chicago, IL, 60629",Private,PK,N/A,N/A,N/A
715,Village Of Hope Learning Center,0/10,Currently unrated,"1400 South Kolin Avenue #1408, Chicago, IL, 60623",Private,PK,N/A,N/A,N/A
716,Sunnyside Day Care Center,0/10,Currently unrated,"3542 West Sunnyside Avenue, Chicago, IL, 60625",Private,PK,N/A,N/A,N/A
717,First Step Learning Day Care,0/10,Currently unrated,"6401 South Ashland Avenue, Chicago, IL, 60636",Private,PK,N/A,N/A,N/A
718,Smart Start Child Development Center,0/10,Currently unrated,"7201 South Western Avenue, Chicago, IL, 60636",Private,PK,N/A,N/A,N/A
719,Leclaire Head Start,0/10,Currently unrated,"5120 West 44th Street, Chicago, IL, 60638",Private,PK,N/A,N/A,N/A
720,Lovebugs Toddler Pre-School,0/10,Currently unrated,"1327 North Larrabee Street, Chicago, IL, 60610",Private,PK,N/A,N/A,N/A
721,Blocks Inf/Tdlr Child Care Center,0/10,Currently unrated,"657 South Wells Street, Chicago, IL, 60607",Private,PK,N/A,N/A,N/A
722,The Goddard School - Chicago,0/10,Currently unrated,"1127 West Armitage Avenue, Chicago, IL, 60614",Private,PK,N/A,N/A,N/A
723,For Your Child Pre-School,0/10,Currently unrated,"2411 North Marshfield Avenue, Chicago, IL, 60614",Private,PK,N/A,N/A,N/A
724,Little Inspirations Child Care Center,0/10,Currently unrated,"4945 South Dorchester Avenue, Chicago, IL, 60615",Private,PK,N/A,N/A,N/A
725,Beteur 1 Child Care Center,0/10,Currently unrated,"7045 South Halsted Street, Chicago, IL, 60621",Private,PK,N/A,N/A,N/A
726,Building Blocks Learning Academy,0/10,Currently unrated,"1124 West 69th Street, Chicago, IL, 60621",Private,PK,N/A,N/A,N/A
727,Nativity Early Childhood Center,0/10,Currently unrated,"2740 West 68th Street, Chicago, IL, 60629",Private,PK,N/A,N/A,N/A
728,St Phillip Neri Aft School Pgrm,0/10,Currently unrated,"2110 East 72nd Street, Chicago, IL, 60649",Private,PK,N/A,N/A,N/A
729,Family Matters/Connections,0/10,Currently unrated,"7731 North Marshfield Avenue, Chicago, IL, 60626",Private,PK,N/A,N/A,N/A
730,Logan Square School Age Pgrm,0/10,Currently unrated,"1834 North Lawndale Avenue, Chicago, IL, 60647",Private,PK,N/A,N/A,N/A
731,Just For Kids,0/10,Currently unrated,"11024 South Bell Avenue, Chicago, IL, 60643",Private,PK,N/A,N/A,N/A
732,Carole Robertson Center-S Side,0/10,Currently unrated,"2929 West 19th Street, Chicago, IL, 60623",Private,PK,N/A,N/A,N/A
733,Carole Robertson Learning Center,0/10,Currently unrated,"3701 West Ogden Avenue, Chicago, IL, 60623",Private,PK,N/A,N/A,N/A
734,Consuelo Lee Corretjer Dcc,0/10,Currently unrated,"2739 West Division Street #41, Chicago, IL, 60622",Private,PK,N/A,N/A,N/A
735,Bright Horizons at Clybourn,0/10,Currently unrated,"1425 North Dayton Street, Chicago, IL, 60642",Private,PK,N/A,N/A,N/A
736,Wentworth Park,0/10,Currently unrated,"5625 South Mobile Avenue, Chicago, IL, 60638",Private,PK,N/A,N/A,N/A
737,Wheatley Head Start,0/10,Currently unrated,"902 East 133rd Place, Chicago, IL, 60827",Private,PK,N/A,N/A,N/A
738,Fuller Head Start,0/10,Currently unrated,"4214 South Saint Lawrence Avenue, Chicago, IL, 60653",Private,PK,N/A,N/A,N/A
739,Mayo Head Start,0/10,Currently unrated,"249 East 37th Street, Chicago, IL, 60653",Private,PK,N/A,N/A,N/A
740,Piccolo Head Start,0/10,Currently unrated,"1040 North Keeler Avenue, Chicago, IL, 60651",Private,PK-K,N/A,N/A,N/A
741,Okeeffe Head Start,0/10,Currently unrated,"6940 South Merrill Avenue, Chicago, IL, 60649",Private,PK,N/A,N/A,N/A
742,Bradwell Head Start,0/10,Currently unrated,"7736 South Burnham Avenue, Chicago, IL, 60649",Private,PK,N/A,N/A,N/A
743,Monroe Head Start,0/10,Currently unrated,"3651 West Schubert Avenue, Chicago, IL, 60647",Private,PK,N/A,N/A,N/A
744,Ellington Head Start,0/10,Currently unrated,"243 North Parkside Avenue, Chicago, IL, 60644",Private,PK,N/A,N/A,N/A
745,Emmet Head Start,0/10,Currently unrated,"5500 West Madison Street, Chicago, IL, 60644",Private,PK,N/A,N/A,N/A
746,Mcpherson Head Start,0/10,Currently unrated,"4728 North Wolcott Avenue, Chicago, IL, 60640",Private,PK-K,N/A,N/A,N/A
747,Fiske Head Start,0/10,Currently unrated,"6145 South Ingleside Avenue, Chicago, IL, 60637",Private,PK,N/A,N/A,N/A
748,Altgeld Head Start,0/10,Currently unrated,"7007 South Loomis Street, Chicago, IL, 60636",Private,PK,N/A,N/A,N/A
749,Otoole Head Start,0/10,Currently unrated,"6550 South Seeley Avenue, Chicago, IL, 60636",Private,PK,N/A,N/A,N/A
750,Earle Head Start,0/10,Currently unrated,"6121 South Hermitage Avenue, Chicago, IL, 60636",Private,PK,N/A,N/A,N/A
751,Goodlow Head Start,0/10,Currently unrated,"2040 West 62nd Street, Chicago, IL, 60636",Private,PK,N/A,N/A,N/A
752,Davis Miles Head Start,0/10,Currently unrated,"6723 South Wood Street, Chicago, IL, 60636",Private,PK,N/A,N/A,N/A
753,Copernicus Head Start,0/10,Currently unrated,"6010 South Throop Street, Chicago, IL, 60636",Private,PK,N/A,N/A,N/A
754,Claremont Academy Head Start,0/10,Currently unrated,"2300 West 64th Street, Chicago, IL, 60636",Private,PK,N/A,N/A,N/A
755,Hurley Head Start,0/10,Currently unrated,"3849 West 69th Street, Chicago, IL, 60629",Private,PK,N/A,N/A,N/A
756,Brown Head Start,0/10,Currently unrated,"12607 South Union Avenue, Chicago, IL, 60628",Private,PK,N/A,N/A,N/A
757,Curtis Head Start,0/10,Currently unrated,"32 East 115th Street, Chicago, IL, 60628",Private,PK,N/A,N/A,N/A
758,Songhai Head Start,0/10,Currently unrated,"11725 South Perry Avenue, Chicago, IL, 60628",Private,PK-K,N/A,N/A,N/A
759,Lavizzo Head Start,0/10,Currently unrated,"138 West 109th Street, Chicago, IL, 60628",Private,PK-K,N/A,N/A,N/A
760,Gale Head Start,0/10,Currently unrated,"1631 West Jonquil Terrace, Chicago, IL, 60626",Private,PK,N/A,N/A,N/A
761,Sumner Head Start,0/10,Currently unrated,"4320 West 5th Avenue, Chicago, IL, 60624",Private,PK,N/A,N/A,N/A
762,Hansberry Head Start,0/10,Currently unrated,"4055 West Arthington Street, Chicago, IL, 60624",Private,PK,N/A,N/A,N/A
763,Johnson Head Start,0/10,Currently unrated,"1504 South Albany Avenue, Chicago, IL, 60623",Private,PK-K,N/A,N/A,N/A
764,Lawndale Head Start,0/10,Currently unrated,"3500 West Douglas Boulevard, Chicago, IL, 60623",Private,PK-K,N/A,N/A,N/A
765,Penn Head Start,0/10,Currently unrated,"1616 South Avers Avenue, Chicago, IL, 60623",Private,PK,N/A,N/A,N/A
766,Cardenas Head Start,0/10,Currently unrated,"2345 South Millard Avenue, Chicago, IL, 60623",Private,PK,N/A,N/A,N/A
767,Gary Head Start,0/10,Currently unrated,"3740 West 31st Street, Chicago, IL, 60623",Private,PK,N/A,N/A,N/A
768,Herzl Head Start,0/10,Currently unrated,"1401 South Hamlin Avenue, Chicago, IL, 60623",Private,PK,N/A,N/A,N/A
769,Dvorak Head Start,0/10,Currently unrated,"3615 West 16th Street, Chicago, IL, 60623",Private,PK,N/A,N/A,N/A
770,Carpenter School Head Start,0/10,Currently unrated,"1250 West Erie Street, Chicago, IL, 60642",Private,PK,N/A,N/A,N/A
771,Lafayette Head Start,0/10,Currently unrated,"2714 West Augusta Boulevard, Chicago, IL, 60622",Private,PK-K,N/A,N/A,N/A
772,Bond Head Start,0/10,Currently unrated,"7050 South May Street, Chicago, IL, 60621",Private,PK,N/A,N/A,N/A
773,Holmes Head Start,0/10,Currently unrated,"955 West Garfield Boulevard, Chicago, IL, 60621",Private,PK,N/A,N/A,N/A
774,Mahalia Jackson Ps For All,0/10,Currently unrated,"917 West 88th Street, Chicago, IL, 60620",Private,PK,N/A,N/A,N/A
775,Morgan Head Start,0/10,Currently unrated,"8407 South Kerfoot Avenue, Chicago, IL, 60620",Private,PK,N/A,N/A,N/A
776,Mcdowell Head Start,0/10,Currently unrated,"1419 East 89th Street, Chicago, IL, 60619",Private,PK,N/A,N/A,N/A
777,Tanner Head Start,0/10,Currently unrated,"7350 South Evans Avenue, Chicago, IL, 60619",Private,PK-K,N/A,N/A,N/A
778,Revere Head Start,0/10,Currently unrated,"1010 East 72nd Street, Chicago, IL, 60619",Private,PK,N/A,N/A,N/A
779,Schneider Head Start,0/10,Currently unrated,"2957 North Hoyne Avenue, Chicago, IL, 60618",Private,PK,N/A,N/A,N/A
780,Reavis Head Start,0/10,Currently unrated,"834 East 50th Street, Chicago, IL, 60615",Private,PK,N/A,N/A,N/A
781,Dett Head Start,0/10,Currently unrated,"2306 West Maypole Avenue, Chicago, IL, 60612",Private,PK-K,N/A,N/A,N/A
782,Crane Head Start,0/10,Currently unrated,"2245 West Jackson Boulevard, Chicago, IL, 60612",Private,PK,N/A,N/A,N/A
783,Herbert Head Start,0/10,Currently unrated,"2131 West Monroe Street, Chicago, IL, 60612",Private,PK,N/A,N/A,N/A
784,Morton Head Start,0/10,Currently unrated,"431 North Troy Street, Chicago, IL, 60612",Private,PK,N/A,N/A,N/A
785,Beethoven Head Start,0/10,Currently unrated,"25 West 47th Street, Chicago, IL, 60609",Private,PK,N/A,N/A,N/A
786,Graham Head Start,0/10,Currently unrated,"4436 South Union Avenue, Chicago, IL, 60609",Private,PK,N/A,N/A,N/A
787,Fulton Head Start,0/10,Currently unrated,"5300 South Hermitage Avenue, Chicago, IL, 60609",Private,PK,N/A,N/A,N/A
788,Libby Head Start,0/10,Currently unrated,"5330 South Loomis Boulevard, Chicago, IL, 60609",Private,PK,N/A,N/A,N/A
789,Whittier Head Start,0/10,Currently unrated,"1900 West 23rd Street, Chicago, IL, 60608",Private,PK,N/A,N/A,N/A
790,Medill Head Start,0/10,Currently unrated,"1301 West 14th Street, Chicago, IL, 60608",Private,PK,N/A,N/A,N/A
791,Perez Head Start,0/10,Currently unrated,"1241 West 19th Street, Chicago, IL, 60608",Private,PK-K,N/A,N/A,N/A
792,Pilsen Head Start,0/10,Currently unrated,"1420 West 17th Street, Chicago, IL, 60608",Private,PK,N/A,N/A,N/A
793,New Hope Head Start,0/10,Currently unrated,"4255 West Division Street, Chicago, IL, 60651",Private,PK,N/A,N/A,N/A
794,Lowell Muoz Marin Head Start,0/10,Currently unrated,"3320 West Evergreen Avenue, Chicago, IL, 60651",Private,PK,N/A,N/A,N/A
795,Trinity United Church Of Chris,0/10,Currently unrated,"6921 South Stony Island Avenue, Chicago, IL, 60649",Private,PK,N/A,N/A,N/A
796,One Hope United Head Start,0/10,Currently unrated,"5244 North Lakewood Avenue, Chicago, IL, 60640",Private,PK,N/A,N/A,N/A
797,Chicago Youth Centers Lotts,0/10,Currently unrated,"1139 West 79th Street, Chicago, IL, 60620",Private,PK,N/A,N/A,N/A
798,Linne Head Start,0/10,Currently unrated,"3221 North Sacramento Avenue, Chicago, IL, 60618",Private,PK-K,N/A,N/A,N/A
799,Ada S Mckinley Trumbull Head Start,0/10,Currently unrated,"10530 South Oglesby Avenue, Chicago, IL, 60617",Private,PK,N/A,N/A,N/A
800,Dodge Head Start,0/10,Currently unrated,"2651 West Washington Boulevard, Chicago, IL, 60612",Private,PK,N/A,N/A,N/A
801,Firman House South Head Start,0/10,Currently unrated,"5401 South Wentworth Avenue, Chicago, IL, 60609",Private,PK,N/A,N/A,N/A
802,Learning Tree,0/10,Currently unrated,"8128 South Kedzie Avenue, Chicago, IL, 60652",Private,PK,N/A,N/A,N/A
803,Little Kids Vlg Learning Ii,0/10,Currently unrated,"2656 West 71st Street, Chicago, IL, 60629",Private,PK,N/A,N/A,N/A
804,Memitos Academy For Children,0/10,Currently unrated,"2445 North Laramie Avenue, Chicago, IL, 60639",Private,PK,N/A,N/A,N/A
805,Rachelles Learning Center,0/10,Currently unrated,"3430 West Roosevelt Road #34, Chicago, IL, 60624",Private,PK,N/A,N/A,N/A
806,Loren Children Learning Center,0/10,Currently unrated,"2106 East 79th Street #10, Chicago, IL, 60649",Private,PK,N/A,N/A,N/A
807,Lawndale Cmtyday Care,0/10,Currently unrated,"1800 South Lawndale Avenue, Chicago, IL, 60623",Private,PK,N/A,N/A,N/A
808,Angel Wings Day Care,0/10,Currently unrated,"5365 West North Avenue, Chicago, IL, 60639",Private,PK,N/A,N/A,N/A
809,Ram Little Lambs Learning Center,0/10,Currently unrated,"3337 W Chicago Ave # 41, Chicago, IL, 60651",Private,PK,N/A,N/A,N/A
810,Ravenswood Manor Child Care Center,0/10,Currently unrated,"2756 West Montrose Avenue #58, Chicago, IL, 60618",Private,PK,N/A,N/A,N/A
811,Child Development & High Quality Care,0/10,Currently unrated,"3906 West Chicago Avenue, Chicago, IL, 60651",Private,PK,N/A,N/A,N/A
812,True To Life Foundation,0/10,Currently unrated,"1712 East 87th Street, Chicago, IL, 60617",Private,PK,N/A,N/A,N/A
813,Pagoda Aft/Sch Pgrm,0/10,Currently unrated,"1856 West 95th Street, Chicago, IL, 60643",Private,PK,N/A,N/A,N/A
814,Lees Cuddles N Care Day Care,0/10,Currently unrated,"6100 West North Avenue #6106, Chicago, IL, 60639",Private,PK,N/A,N/A,N/A
815,Kiddie Garden Little Angels Cc,0/10,Currently unrated,"4235 South Kedzie Avenue, Chicago, IL, 60632",Private,PK,N/A,N/A,N/A
816,Pinks Cc Academy Ii Ltd,0/10,Currently unrated,"8000 South Kedzie Avenue, Chicago, IL, 60652",Private,PK,N/A,N/A,N/A
817,Salvation Army Englewood After,0/10,Currently unrated,"945 West 69th Street, Chicago, IL, 60621",Private,PK,N/A,N/A,N/A
818,American Educare Inc Child Care Center,0/10,Currently unrated,"3107 West Devon Avenue, Chicago, IL, 60659",Private,PK,N/A,N/A,N/A
819,Childrens World #2,0/10,Currently unrated,"5911 North Lincoln Avenue, Chicago, IL, 60659",Private,PK,N/A,N/A,N/A
820,Pinks Child Care Academy,0/10,Currently unrated,"8236 South Kedzie Avenue, Chicago, IL, 60652",Private,PK,N/A,N/A,N/A
821,West Austin Development Center,0/10,Currently unrated,"4920 West Madison Street, Chicago, IL, 60644",Private,PK,N/A,N/A,N/A
822,Kids R First,0/10,Currently unrated,"7538 South Halsted Street, Chicago, IL, 60620",Private,PK,N/A,N/A,N/A
823,All Star Kids Academy,0/10,Currently unrated,"1960 West 13th Street, Chicago, IL, 60608",Private,PK,N/A,N/A,N/A
824,Cozy Corner Child Care Center,0/10,Currently unrated,"2818 West North Avenue #20, Chicago, IL, 60647",Private,PK,N/A,N/A,N/A
825,Grannys Day Care Center Ii,0/10,Currently unrated,"645 West 127th Street, Chicago, IL, 60628",Private,PK,N/A,N/A,N/A
826,My Precious Little Angels Dc,0/10,Currently unrated,"7012 West North Avenue, Chicago, IL, 60707",Private,PK,N/A,N/A,N/A
827,Sauganash Montessori School,0/10,Currently unrated,"5750 North Rogers Avenue, Chicago, IL, 60646",Private,PK,N/A,N/A,N/A
828,Smiling Faces Day Care,0/10,Currently unrated,"4727 South Hamlin Avenue, Chicago, IL, 60632",Private,PK,N/A,N/A,N/A
829,Children's House,0/10,Currently unrated,"501 East 32nd Street, Chicago, IL, 60616",Private,PK,N/A,N/A,N/A
830,Falconer Head Start,0/10,Currently unrated,"4632 West Diversey Avenue, Chicago, IL, 60639",Private,PK,N/A,N/A,N/A
831,Lincoln King Head Start,0/10,Currently unrated,"4314 South Cottage Grove Avenue, Chicago, IL, 60653",Private,PK,N/A,N/A,N/A
832,Incarnation Head Start,0/10,Currently unrated,"1345 North Karlov Avenue, Chicago, IL, 60639",Private,PK,N/A,N/A,N/A
833,Family Rescue Ridgeland Head S,0/10,Currently unrated,"6824 South Ridgeland Avenue, Chicago, IL, 60649",Private,PK,N/A,N/A,N/A
834,Columbus Park Head Start,0/10,Currently unrated,"500 South Central Avenue, Chicago, IL, 60644",Private,PK,N/A,N/A,N/A
835,First Start Child Care Academy,0/10,Currently unrated,"4753 West Washington Boulevard #59, Chicago, IL, 60644",Private,PK,N/A,N/A,N/A
836,All Day Montessori,0/10,Currently unrated,"1819 West 99th Street, Chicago, IL, 60643",Private,PK-K,N/A,N/A,N/A
837,Kidz Imaginations Day Care Inc,0/10,Currently unrated,"5334 South Archer Avenue, Chicago, IL, 60632",Private,PK-K,N/A,N/A,N/A
838,Childrens Center Head Start,0/10,Currently unrated,"3215 West 63rd Street, Chicago, IL, 60629",Private,PK,N/A,N/A,N/A
839,Albany Park Head Start,0/10,Currently unrated,"5954 South Albany Avenue, Chicago, IL, 60629",Private,PK,N/A,N/A,N/A
840,Little Tykes Ii Head Start,0/10,Currently unrated,"1723 West 35th Street, Chicago, IL, 60609",Private,PK,N/A,N/A,N/A
841,St John Head Start,0/10,Currently unrated,"5701 West Midway Park, Chicago, IL, 60644",Private,PK,N/A,N/A,N/A
842,Ada S Mckinley St Thomas Child,0/10,Currently unrated,"4301 South Wabash Avenue, Chicago, IL, 60653",Private,PK,N/A,N/A,N/A
843,Panda Montessori Academy Inc,0/10,Currently unrated,"6921 North Ridge Boulevard, Chicago, IL, 60645",Private,PK-K,N/A,N/A,N/A
844,Lutheran Social Services In Il,0/10,Currently unrated,"1754 West Devon Avenue, Chicago, IL, 60660",Private,PK,N/A,N/A,N/A
845,Childrens Place Family Child Care Center,0/10,Currently unrated,"1800 West Chicago Avenue, Chicago, IL, 60622",Private,PK,N/A,N/A,N/A
846,Mothers Touch Day Care,0/10,Currently unrated,"2501 West 71st Street, Chicago, IL, 60629",Private,PK,N/A,N/A,N/A
847,Chicago Lawn Head Start,0/10,Currently unrated,"3001 West 59th Street, Chicago, IL, 60629",Private,PK,N/A,N/A,N/A
848,Patti Cake Pre-Sch& Kindergarten,0/10,Currently unrated,"939 West 87th Street, Chicago, IL, 60620",Private,PK-K,N/A,N/A,N/A
849,Childrens Creative Center,0/10,Currently unrated,"1911 West Irving Park Road, Chicago, IL, 60613",Private,PK-K,N/A,N/A,N/A
850,Roseland Child Development Head Start,0/10,Currently unrated,"461 East 111th Street, Chicago, IL, 60628",Private,PK,N/A,N/A,N/A
851,Roseland Head Start Ii,0/10,Currently unrated,"11400 South Edbrooke Avenue, Chicago, IL, 60628",Private,PK,N/A,N/A,N/A
852,Irving Park Ymca Pre-School,0/10,Currently unrated,"4251 West Irving Park Road, Chicago, IL, 60641",Private,PK,N/A,N/A,N/A
853,Marias Garden Head Start,0/10,Currently unrated,"10509 South Torrence Avenue, Chicago, IL, 60617",Private,PK,N/A,N/A,N/A
854,Tish's Tiny Town For Tots Child Care Center,0/10,Currently unrated,"2233 East 70th Street #3, Chicago, IL, 60649",Private,PK,N/A,N/A,N/A
855,Teenchy Weenchy Dc & Lc,0/10,Currently unrated,"9605 South Carpenter Street, Chicago, IL, 60643",Private,PK,N/A,N/A,N/A
