Unnamed: 0,School,Score,Rating,Address,Type,Grades,Total Students Enrolled,Students per teacher,District,City,State,High School (9-12),Middle School (6-8),Elementary (K-5),Pre-Kindergarten (PK)
155,Talcott Elementary School,5,Average,"1840 West Ohio Street, Chicago, IL, 60622",Public district,PK-8,502.0,13:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
156,Mitchell Elementary School,5,Average,"2233 West Ohio Street, Chicago, IL, 60612",Public district,PK-8,400.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
157,Murphy Elementary School,5,Average,"3539 West Grace Street, Chicago, IL, 60618",Public district,PK-8,521.0,14:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
158,Newberry Elementary Math & Science Academy,5,Average,"700 West Willow Street, Chicago, IL, 60614",Public district,PK-8,566.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
159,Nobel Elementary School,5,Average,"4127 West Hirsch Street, Chicago, IL, 60651",Public district,PK-8,776.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
160,KIPP Bloom Charter Elementary School,5,Average,"5515 South Lowe Ave, Chicago, IL, 60621",Public charter,5,352.0,17:1,City Of Chicago School District 299,Chicago,IL,0,0,1,0
161,Disney Ii Magnet High School,5,Average,"3900 Lawndale Avenue, Chicago, IL, 60618",Public district,7-12,711.0,10:1,City Of Chicago School District 299,Chicago,IL,1,1,0,0
162,LEARN Excel,5,Average,"3021 W. Carroll Ave., Chicago, IL, 60612",Public charter,K-5,450.0,11:1,City Of Chicago School District 299,Chicago,IL,0,0,1,0
163,Onahan Elementary School,5,Average,"6634 West Raven Street, Chicago, IL, 60631",Public district,PK-8,655.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
164,Owen Elementary Scholastic Academy,5,Average,"8247 South Christiana Avenue, Chicago, IL, 60652",Public district,K-8,268.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
165,Southeast Area Elementary School,5,Average,"3930 East 105th Street, Chicago, IL, 60617",Public district,PK-6,517.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
166,Pickard Elementary School,5,Average,"2301 West 21st Place, Chicago, IL, 60608",Public district,PK-8,443.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
167,Portage Park Elementary School,5,Average,"5330 W Berteau Ave, Chicago, IL, 60641",Public district,PK-8,950.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
168,Prescott Elementary School,5,Average,"1632 West Wrightwood Avenue, Chicago, IL, 60614",Public district,PK-8,432.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
169,Prussing Elementary School,5,Average,"4650 North Menard Avenue, Chicago, IL, 60630",Public district,PK-8,734.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
170,Reinberg Elementary School,5,Average,"3425 North Major Avenue, Chicago, IL, 60634",Public district,PK-8,794.0,14:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
171,Smyser Elementary School,5,Average,"4310 North Melvina Avenue, Chicago, IL, 60634",Public district,PK-8,939.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
172,Thorp O A Elementary Scholastic Academy,5,Average,"6024 W Warwick Ave, Chicago, IL, 60634",Public district,K-8,848.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
173,Twain Elementary School,5,Average,"5134 South Lotus Avenue, Chicago, IL, 60638",Public district,PK-8,1133.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
174,Walsh Elementary School,5,Average,"2015 South Peoria Street, Chicago, IL, 60608",Public district,PK-8,352.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
175,Pritzker Elementary School,5,Average,"2009 West Schiller Street, Chicago, IL, 60622",Public district,PK-8,743.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
176,Whitney Elementary School,5,Average,"2815 South Komensky Avenue, Chicago, IL, 60623",Public district,PK-8,986.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
177,Lee Elementary School,5,Average,"6448 South Tripp Avenue, Chicago, IL, 60629",Public district,PK-8,864.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
178,Brooks College Prep Academy High School,5,Average,"250 East 111th Street, Chicago, IL, 60628",Public district,7-12,962.0,18:1,City Of Chicago School District 299,Chicago,IL,1,1,0,0
179,Ruiz Elementary School,5,Average,"2410 South Leavitt Street, Chicago, IL, 60608",Public district,PK-8,698.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
180,Carson Elementary School,5,Average,"5516 South Maplewood Avenue, Chicago, IL, 60629",Public district,PK-8,1099.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
181,Charles J Sahs Elementary School,5,Average,"5001 Long Avenue, Chicago, IL, 60638",Public district,PK-8,390.0,14:1,Central Stickney School District 110,Chicago,IL,0,1,1,1
182,Locke A Elementary Charter Academy,5,Average,"3141 West Jackson Boulevard, Chicago, IL, 60612",Public charter,PK-8,499.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
183,Sandoval Elementary School,5,Average,"5534 South Saint Louis Avenue, Chicago, IL, 60629",Public district,PK-5,972.0,19:1,City Of Chicago School District 299,Chicago,IL,0,0,1,1
184,Colemon J Elementary Academy,5,Average,"1441 West 119th Street, Chicago, IL, 60643",Public district,PK-8,252.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
185,North River Elementary School,5,Average,"4416 North Troy Street, Chicago, IL, 60625",Public district,PK-8,319.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
186,Chicago Academy High School,5,Average,"3400 North Austin Avenue, Chicago, IL, 60634",Public district,9-12,542.0,15:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
187,Clark Academy Prep Magnet High School,5,Average,"5101 West Harrison Street, Chicago, IL, 60644",Public district,9-12,542.0,17:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
188,Erie Elementary Charter School,5,Average,"1405 North Washtenaw Avenue, Chicago, IL, 60622",Public charter,K-8,417.0,9:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
189,Lindblom Math & Science Academy High School,5,Average,"6130 South Wolcott Avenue, Chicago, IL, 60636",Public district,7-12,1325.0,16:1,City Of Chicago School District 299,Chicago,IL,1,1,0,0
190,Bateman Elementary School,5,Average,"4220 N Richmond St, Chicago, IL, 60618",Public district,PK-8,1008.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
191,Frazier International Magnet Elementary School,5,Average,"4027 W Grenshaw, Chicago, IL, 60624",Public district,K-8,204.0,11:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
192,Edison Park Elementary School,5,Average,"6220 North Olcott Avenue, Chicago, IL, 60631",Public district,PK-8,540.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
193,Davis M Magnet Elementary School,5,Average,"6740 South Paulina Street, Chicago, IL, 60636",Public district,K-8,249.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
194,Clissold Elementary School,4,Below average,"2350 West 110th Place, Chicago, IL, 60643",Public district,K-8,507.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
195,CICS Bucktown,4,Below average,"2235 North Hamilton, Chicago, IL, 60647",Public charter,K-8,707.0,14:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
196,CICS Irving Park,4,Below average,"3820 North Spaulding Avenue, Chicago, IL, 60618",Public charter,K-8,555.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
197,CICS West Belden,4,Below average,"2245 N. McVicker, Chicago, IL, 60639",Public charter,K-8,527.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
198,Camras Elementary School,4,Below average,"3000 North Mango Avenue, Chicago, IL, 60634",Public district,PK-8,936.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
199,Ihsca Charter High School,4,Below average,"2520 South Western Avenue, Chicago, IL, 60608",Public charter,9-12,749.0,12:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
200,Shields Middle School,4,Below average,"2611 West 48th Street, Chicago, IL, 60632",Public district,5-8,605.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
201,Solorio Acad High School,4,Below average,"5400 South Saint Louis Avenue, Chicago, IL, 60632",Public district,9-12,1195.0,15:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
202,Hanson Park Elementary School,4,Below average,"5411 West Fullerton Avenue, Chicago, IL, 60639",Public district,PK-8,1483.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
203,Dubois Elementary School,4,Below average,"330 East 133rd Street, Chicago, IL, 60827",Public district,PK-8,234.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
204,Eberhart Elementary School,4,Below average,"3400 West 65th Place, Chicago, IL, 60629",Public district,PK-8,1386.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
205,Edgebrook Elementary School,4,Below average,"6525 North Hiawatha Avenue, Chicago, IL, 60646",Public district,K-8,512.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
206,Edwards Elementary School,4,Below average,"4815 South Karlov Avenue, Chicago, IL, 60632",Public district,PK-8,1550.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
207,Falconer Elementary School,4,Below average,"3020 North Lamon Avenue, Chicago, IL, 60641",Public district,PK-6,1190.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
208,DRW College Prep,4,Below average,"931 S. Homan Ave., Chicago, IL, 60624",Public charter,10-12,508.0,18:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
209,Gary Comer College Prep,4,Below average,"7131 S. South Chicago Ave., Chicago, IL, 60619",Public charter,9-12,1096.0,18:1,City Of Chicago School District 299,Chicago,IL,1,0,0,0
210,Fulton Elementary School,4,Below average,"5300 South Hermitage Avenue, Chicago, IL, 60609",Public district,PK-8,337.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
211,Gary Elementary School,4,Below average,"3740 West 31st Street, Chicago, IL, 60623",Public district,3-8,1120.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
212,Goethe Elementary School,4,Below average,"2236 North Rockwell Street, Chicago, IL, 60647",Public district,PK-8,761.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
213,Gray Elementary School,4,Below average,"3730 North Laramie Avenue, Chicago, IL, 60641",Public district,PK-8,1160.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
214,Greene N Elementary School,4,Below average,"3525 South Honore Street, Chicago, IL, 60609",Public district,PK-5,498.0,17:1,City Of Chicago School District 299,Chicago,IL,0,0,1,1
215,Grissom Elementary School,4,Below average,"12810 South Escanaba Avenue, Chicago, IL, 60633",Public district,PK-8,353.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
216,Grimes Elementary School,4,Below average,"5450 West 64th Place, Chicago, IL, 60638",Public district,PK-8,454.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
217,Hale Elementary School,4,Below average,"6140 South Melvina Avenue, Chicago, IL, 60638",Public district,PK-8,928.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
218,Haugan Elementary School,4,Below average,"4540 North Hamlin Avenue, Chicago, IL, 60625",Public district,PK-6,908.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
219,Hearst Elementary School,4,Below average,"4640 South Lamon Avenue, Chicago, IL, 60638",Public district,PK-8,363.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
220,Hefferan Elementary School,4,Below average,"4409 West Wilcox Street, Chicago, IL, 60624",Public district,PK-8,345.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
221,Hitch Elementary School,4,Below average,"5625 North McVicker Avenue, Chicago, IL, 60646",Public district,PK-8,568.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
222,Hoyne Elementary School,4,Below average,"8905 South Crandon Avenue, Chicago, IL, 60617",Public district,K-8,253.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
223,Jamieson Elementary School,4,Below average,"5650 North Mozart Street, Chicago, IL, 60659",Public district,PK-8,919.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
224,Addams Elementary School,4,Below average,"10810 South Avenue H, Chicago, IL, 60617",Public district,PK-8,714.0,20:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
225,Kilmer Elementary School,4,Below average,"6700 North Greenview Avenue, Chicago, IL, 60626",Public district,PK-8,763.0,14:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
226,Lasalle Elementary Language Academy,4,Below average,"1734 North Orleans Street, Chicago, IL, 60614",Public district,K-8,560.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
227,Locke  J Elementary School,4,Below average,"2828 North Oak Park Avenue, Chicago, IL, 60634",Public district,PK-8,1337.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
228,Marsh Elementary School,4,Below average,"9822 South Exchange Avenue, Chicago, IL, 60617",Public district,PK-8,759.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
229,Mcclellan Elementary School,4,Below average,"3527 South Wallace Street, Chicago, IL, 60609",Public district,PK-8,338.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
230,Mccutcheon Elementary School,4,Below average,"4865 North Sheridan Road, Chicago, IL, 60640",Public district,PK-8,372.0,11:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
231,Mozart Elementary School,4,Below average,"2200 North Hamlin Avenue, Chicago, IL, 60647",Public district,PK-8,641.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
232,Brown R Elementary Community Academy,4,Below average,"12607 South Union Avenue, Chicago, IL, 60628",Public district,PK-8,311.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
233,Nightingale Elementary School,4,Below average,"5250 South Rockwell Street, Chicago, IL, 60632",Public district,PK-8,1264.0,18:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
234,Ogden Elementary School,4,Below average,"24 West Walton Street, Chicago, IL, 60610",Public district,PK-8,810.0,7:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
235,LEARN Charles and Dorothy Campbell Campus,4,Below average,"212 S. Francisco Ave., Chicago, IL, 60612",Public charter,K-6,402.0,11:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
236,Horzion Sci Acad - Southwest Chtr,4,Below average,"5401 South Western Avenue, Chicago, IL, 60609",Public charter,K-10,723.0,12:1,City Of Chicago School District 299,Chicago,IL,1,1,1,0
237,Pasteur Elementary School,4,Below average,"5825 South Kostner Avenue, Chicago, IL, 60629",Public district,PK-8,712.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
238,Peck Elementary School,4,Below average,"3826 West 58th Street, Chicago, IL, 60629",Public district,PK-8,951.0,19:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
239,Betty Shabazz Internl Charter Sch,4,Below average,"7823 South Ellis Avenue, Chicago, IL, 60619",Public charter,K-8,289.0,14:1,Betty Shabazz  Internl Chrtr Sch,Chicago,IL,0,1,1,0
240,Peirce Elementary Intl Studies School,4,Below average,"1423 West Bryn Mawr Avenue, Chicago, IL, 60660",Public district,PK-8,1018.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
241,Peterson Elementary School,4,Below average,"5510 North Christiana Ave, Chicago, IL, 60625",Public district,PK-8,891.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
242,Richardson Middle School,4,Below average,"6018 South Karlov Avenue, Chicago, IL, 60629",Public district,5-8,1214.0,20:1,City Of Chicago School District 299,Chicago,IL,0,1,1,0
243,Reavis Elementary Math & Sci Spec School,4,Below average,"834 East 50th Street, Chicago, IL, 60615",Public district,PK-8,247.0,14:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
244,Reilly Elementary School,4,Below average,"3650 West School Street, Chicago, IL, 60618",Public district,PK-8,924.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
245,Sayre Elementary Language Academy,4,Below average,"1850 North Newland Avenue, Chicago, IL, 60707",Public district,PK-8,449.0,15:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
246,Sherwood Elementary School,4,Below average,"245 West 57th Street, Chicago, IL, 60621",Public district,PK-8,319.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
247,Cardenas Elementary School,4,Below average,"2345 South Millard Avenue, Chicago, IL, 60623",Public district,PK-3,561.0,17:1,City Of Chicago School District 299,Chicago,IL,0,0,1,1
248,Sullivan Elementary School,4,Below average,"8331 South Mackinaw Avenue, Chicago, IL, 60617",Public district,PK-8,513.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
249,Swift Elementary Specialty School,4,Below average,"5900 North Winthrop Avenue, Chicago, IL, 60660",Public district,PK-8,706.0,16:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
250,Volta Elementary School,4,Below average,"4950 North Avers Avenue, Chicago, IL, 60625",Public district,PK-8,897.0,17:1,City Of Chicago School District 299,Chicago,IL,0,1,1,1
